matched_2021,new_item_2022,food_category,restaurant,serving_size,serving_size_text,serving_size_unit,serving_size_household,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,dietary_fiber,sugar,protein,potassium
1,0,Pizza,Domino's,161,,g,XL (1/8 pizza),440,20,10,0.5,50,870,46,2,4,19,
1,0,Pizza,Domino's,158,,g,XL (1/8 pizza),450,20,10,0.5,60,1090,44,1,3,20,
1,0,Pizza,Domino's,152,,g,XL (1/8 pizza),400,17,8,0,45,920,43,2,3,17,
1,0,Pizza,Domino's,149,,g,XL (1/8 pizza),420,19,10,0.5,50,770,43,2,3,17,
1,0,Beverages,IHOP,,,,X Large,110,0,0,0,0,120,29,0,29,0,
1,0,Beverages,IHOP,,,,X Large,250,0,0,0,0,115,64,0,62,0,
1,0,Beverages,IHOP,,,,X Large,240,0,0,0,0,105,68,0,68,0,
1,0,Beverages,IHOP,,,,X Large,240,0,0,0,0,100,65,0,65,0,
1,0,Beverages,IHOP,,,,X Large,210,0,0,0,0,100,57,0,57,0,
1,0,Beverages,IHOP,,,,X Large,230,0,0,0,0,90,59,0,58,0,
1,0,Beverages,IHOP,,,,X Large,260,0,0,0,0,90,69,0,69,0,
1,0,Beverages,IHOP,,,,X Large,240,0,0,0,0,85,66,0,66,0,
1,0,Beverages,IHOP,,,,X Large,210,0,0,0,0,70,59,0,59,0,
1,0,Beverages,IHOP,,,,X Large,0,0,0,0,0,70,0,0,0,0,
1,0,Beverages,IHOP,,,,X Large,0,0,0,0,0,60,0,0,0,0,
1,0,Beverages,IHOP,,,,X Large,0,0,0,0,0,60,0,0,0,0,
1,0,Beverages,IHOP,,,,X Large,210,0,0,0,0,60,59,0,59,0,
1,0,Beverages,IHOP,,,,X Large,230,0,0,0,0,55,63,0,63,0,
1,0,Beverages,IHOP,,,,X Large,0,0,0,0,0,55,0,0,0,0,
1,0,Beverages,IHOP,,,,X Large,240,0,0,0,0,55,63,0,63,0,
1,0,Beverages,IHOP,,,,X Large,210,0,0,0,0,55,56,0,56,0,
1,0,Beverages,IHOP,,,,X Large,250,0,0,0,0,55,68,0,68,0,
1,0,Beverages,IHOP,,,,X Large,240,0,0,0,0,45,63,0,63,0,
1,0,Beverages,IHOP,,,,X Large,230,0,0,0,0,45,62,0,62,0,
0,1,Desserts,Bob Evans,,,,Whole Pie,3900,150,61,,745,2790,603,23,232,45,
0,1,Desserts,Bob Evans,,,,Whole Pie,3000,146,61,,395,2690,438,13,307,43,
0,1,Desserts,Bob Evans,,,,Whole Pie,4010,252,123,2,270,2510,411,16,320,40,
0,1,Desserts,Bob Evans,,,,Whole Pie,3540,168,62,,0,1720,478,23,240,36,
1,0,Desserts,Bob Evans,,,,Whole Pie,3200,168,72,0,0,1500,492,18,270,24,
0,1,Baked Goods,Bob Evans,,,,whole loaf,1840,67,11,0,170,2470,293,11,146,27,
0,1,Baked Goods,Bob Evans,,,,Two Slices (No Margarine),260,8,1.5,0,0,350,30,2,24,4,
1,0,Beverages,Red Lobster,,,,Split,160,0,0,0,0,10,10,0,10,0,
1,0,Beverages,Steak 'N Shake,,,,Small/kids,830,37,17,0,65,420,108,3,85,42,
1,0,Beverages,Steak 'N Shake,,,,Small/kids,600,19,10,0,55,380,99,,80,19,
1,0,Beverages,Steak 'N Shake,,,,Small/kids,570,18,13,0,40,330,92,1,72,19,
1,0,Beverages,Steak 'N Shake,,,,Small/kids,900,51,20,0,60,320,97,0,86,34,
1,0,Beverages,Steak 'N Shake,,,,Small/kids,560,25,10,0,40,310,71,2,58,22,
1,0,Beverages,Steak 'N Shake,,,,Small/kids,550,24,9,0,40,290,69,2,59,21,
1,0,Beverages,Steak 'N Shake,,,,Small/kids,540,18,12,0,80,290,81,1,69,19,
1,0,Beverages,Steak 'N Shake,,,,Small/kids,490,14,8,0,40,280,82,0,67,17,
1,0,Beverages,Steak 'N Shake,,,,Small/kids,560,15,11,0,45,280,97,,78,19,
1,0,Beverages,Steak 'N Shake,,,,Small/kids,490,13,8,0,55,280,82,0,70,18,
1,0,Beverages,Steak 'N Shake,,,,Small/kids,510,14,8,0,40,280,87,0,74,17,
1,0,Beverages,Steak 'N Shake,,,,Small/kids,510,15,10,0,40,260,86,,71,18,
1,0,Beverages,Steak 'N Shake,,,,Small/kids,500,15,9,0,50,260,82,0,70,17,
1,0,Beverages,Steak 'N Shake,,,,Small/kids,520,15,10,0,40,250,87,,71,18,
1,0,Beverages,Steak 'N Shake,,,,Small/kids,460,11,8,0,45,250,82,0,69,17,
1,0,Beverages,Steak 'N Shake,,,,Small/kids,540,18,11,0,60,250,83,0,71,34,
1,0,Beverages,Steak 'N Shake,,,,Small/kids,440,13,11,0,40,210,71,,60,18,
1,0,Beverages,Steak 'N Shake,,,,Small/kids,460,13,9,0,40,210,77,1,66,17,
1,0,Beverages,Steak 'N Shake,,,,Small/kids,530,18,12,0,40,210,84,,75,18,
1,0,Beverages,Steak 'N Shake,,,,Small/kids,380,10,7,0,40,200,66,,55,16,
1,0,Beverages,Steak 'N Shake,,,,Small/kids,550,16,11,0,40,200,90,1,80,18,
1,0,Beverages,Steak 'N Shake,,,,Small/kids,430,10,7,0,40,200,80,2,62,17,
1,0,Beverages,Steak 'N Shake,,,,Small/kids,500,14,11,0,40,200,86,0,77,17,
1,0,Beverages,Steak 'N Shake,,,,Small/kids,390,9,7,0,40,200,68,0,61,17,
1,0,Beverages,Steak 'N Shake,,,,Small/kids,410,10,7,0,40,190,74,2,62,17,
1,0,Beverages,Steak 'N Shake,,,,Small/kids,480,20,10,0,40,190,68,,61,18,
1,0,Beverages,Steak 'N Shake,,,,Small/kids,460,14,10,0,40,190,76,0,66,18,
1,0,Beverages,Steak 'N Shake,,,,Small/kids,420,10,7,0,40,180,75,3,57,18,
1,0,Beverages,Steak 'N Shake,,,,Small/kids,340,9,7,0,40,180,56,0,50,16,
1,0,Beverages,Steak 'N Shake,,,,Small/kids,390,10,7,0,40,180,70,2,57,17,
1,0,Beverages,Steak 'N Shake,,,,Small/kids,380,10,7,0,40,180,64,0,58,16,
1,0,Beverages,Steak 'N Shake,,,,Small/kids,390,10,8,0,40,180,66,0,60,16,
1,0,Beverages,Steak 'N Shake,,,,Small/kids,400,9,7,0,40,170,71,0,65,16,
1,0,Beverages,Steak 'N Shake,,,,Small/kids,400,9,7,0,40,170,72,0,64,16,
1,0,Beverages,Steak 'N Shake,,,,Small/kids,370,9,7,0,40,170,63,0,57,16,
1,0,Beverages,Steak 'N Shake,,,,Small/kids,360,9,7,0,35,160,63,0,57,15,
1,0,Beverages,Steak 'N Shake,,,,Small/kids,650,31,19,0,85,160,88,2,75,15,
1,0,Toppings & Ingredients,Bob Evans,,,,Small (Pick-Two Combo),70,7,1.5,0,0,290,2,0,1,0,
1,0,Toppings & Ingredients,Bob Evans,,,,Small (Pick-Two Combo),140,15,3,0,15,220,2,0,,,
1,0,Toppings & Ingredients,Bob Evans,,,,Small (Pick-Two Combo),100,10,2,0,10,210,,0,,0,
1,0,Toppings & Ingredients,Bob Evans,,,,Small (Pick-Two Combo),140,13,2,0,5,170,6,0,6,0,
1,0,Beverages,Bojangles,16,,oz,small,200,0,0,0,0,210,54,0,54,0,
1,0,Beverages,Bojangles,16,,oz,small,200,0,0,0,0,210,54,0,54,0,
1,0,Beverages,Bojangles,16,,oz,small,220,0,0,0,0,100,58,0,58,0,
1,0,Beverages,Bojangles,16,,oz,small,0,0,0,0,0,80,0,0,0,0,
1,0,Beverages,Bojangles,16,,oz,small,0,0,0,0,0,80,0,0,0,0,
1,0,Beverages,Bojangles,16,,oz,small,220,0,0,0,0,70,58,0,58,0,
1,0,Beverages,Bojangles,16,,oz,small,190,0,0,0,0,60,52,0,51,0,
1,0,Beverages,Bojangles,16,,oz,small,200,0,0,0,0,60,52,60,52,0,
1,0,Beverages,Bojangles,16,,oz,small,220,0,0,0,0,50,60,0,60,0,
1,0,Beverages,Bojangles,16,,oz,small,220,0,0,0,0,50,62,0,60,0,
1,0,Beverages,Bojangles,16,,oz,small,200,0,0,0,0,40,54,0,54,0,
1,0,Beverages,Bojangles,16,,oz,small,200,0,0,0,0,34,56,0,56,0,
1,0,Beverages,Bojangles,16,,oz,small,5,0,0,0,0,10,0,1,0,0,
1,0,Beverages,Bojangles,16,,oz,small,170,0,0,0,0,0,45,0,44,0,
1,0,Beverages,Bojangles,16,,oz,small,5,0,0,0,0,0,1,0,0,0,
0,1,Beverages,Jamba Juice,1,,,Small,460,22,5,0,15,390,43,5,30,34,770
1,0,Beverages,Jamba Juice,1,,,Small,180,1,0,0,0,300,42,12,21,4,1510
1,0,Beverages,Jamba Juice,1,,,Small,560,23,6,0,90,260,53,5,38,42,860
1,0,Beverages,Jamba Juice,1,,,Small,190,1,0,0,0,220,44,8,29,4,1290
1,0,Beverages,Jamba Juice,1,,,Small,450,10,2.5,0,5,200,77,3,67,14,620
1,0,Beverages,Jamba Juice,1,,,Small,430,14,4.5,0,20,200,68,5,53,15,990
1,0,Beverages,Jamba Juice,1,,,Small,290,2.5,1.5,0,10,190,58,1,53,8,470
1,0,Beverages,Jamba Juice,1,,,Small,200,1,0,0,0,150,48,7,31,4,1250
1,0,Beverages,Jamba Juice,1,,,Small,260,0,0,0,0,130,56,1,51,8,250
1,0,Beverages,Jamba Juice,1,,,Small,380,15,12,0,0,125,60,3,42,4,310
1,0,Beverages,Jamba Juice,1,,,Small,300,2,0.5,0,35,110,51,3,40,20,470
1,0,Beverages,Jamba Juice,1,,,Small,260,0.5,0.5,0,0,110,51,5,36,4,660
0,1,Beverages,Jamba Juice,1,,,Small,300,1,,,0,100,57,3,46,16,
1,0,Beverages,Jamba Juice,1,,,Small,300,1.5,1,0,5,90,61,0,61,5,340
1,0,Beverages,Jamba Juice,1,,,Small,200,4.5,2.5,0,0,90,43,5,27,2,520
0,1,Beverages,Jamba Juice,1,,,Small,260,1.5,0,0,0,85,57,8,41,7,1230
1,0,Beverages,Jamba Juice,1,,,Small,330,4,1,0,0,80,67,3,53,6,300
1,0,Beverages,Jamba Juice,1,,,Small,240,1,0,0,0,80,59,6,39,3,1130
1,0,Beverages,Jamba Juice,1,,,Small,140,1,0,0,0,70,33,3,22,4,950
1,0,Beverages,Jamba Juice,1,,,Small,310,2.5,1.5,0,5,60,70,1,63,2,290
1,0,Beverages,Jamba Juice,1,,,Small,250,1,0,0,0,50,58,5,44,5,980
1,0,Beverages,Jamba Juice,1,,,Small,230,5,0,0,0,45,56,2,47,3,580
1,0,Beverages,Jamba Juice,1,,,Small,300,1,0,0,0,45,72,2,62,2,280
1,0,Beverages,Jamba Juice,1,,,Small,270,1,0.5,0,5,35,59,2,51,6,560
1,0,Beverages,Jamba Juice,1,,,Small,290,1,0.5,0,5,35,70,2,63,1,520
0,1,Beverages,Jamba Juice,1,,,Small,410,7,6,0,5,35,85,0,65,1,
0,1,Beverages,Jamba Juice,1,,,Small,330,6,5,0,0,35,69,2,57,2,
1,0,Beverages,Jamba Juice,1,,,Small,260,1,0.5,0,0,30,62,2,54,1,440
1,0,Beverages,Jamba Juice,1,,,Small,200,0,0,0,0,25,51,3,44,2,560
1,0,Beverages,Jamba Juice,1,,,Small,230,1,0,0,0,25,56,4,48,4,540
1,0,Beverages,Jamba Juice,1,,,Small,210,0,0,0,0,15,53,3,46,2,590
1,0,Beverages,Jamba Juice,1,,,Small,240,1,0.5,0,5,15,57,2,52,1,230
1,0,Beverages,Jamba Juice,1,,,Small,230,1.5,0.5,0,5,15,52,2,44,2,610
1,0,Beverages,Jamba Juice,1,,,Small,200,0,0,0,0,15,49,4,37,2,660
1,0,Beverages,Jamba Juice,1,,,Small,190,1,0,0,0,10,46,2,36,3,870
1,0,Beverages,Jamba Juice,1,,,Small,190,0.5,0,0,0,5,46,3,41,2,560
1,0,Beverages,Jamba Juice,1,,,Small,220,1,0,0,0,0,52,1,42,3,990
1,0,Pizza,Pizza Hut,0.25,,pizza,Small,240,8,3.5,0,20,750,33,10,2,2,
1,0,Pizza,Pizza Hut,0.25,,pizza,Small,250,6,3,0,20,740,37,11,2,2,
1,0,Pizza,Pizza Hut,0.25,,pizza,Small,330,15,6,0,35,710,34,14,2,3,
1,0,Pizza,Pizza Hut,0.25,,pizza,Small,330,16,7,0,35,700,33,14,2,2,
1,0,Pizza,Pizza Hut,0.25,,pizza,Small,300,12,6,0,35,590,33,14,2,3,
1,0,Pizza,Pizza Hut,0.25,,pizza,Small,290,13,5,0,30,570,33,12,2,3,
1,0,Pizza,Pizza Hut,0.25,,pizza,Small,260,9,4,0,20,560,33,12,2,2,
1,0,Pizza,Pizza Hut,0.25,,pizza,Small,280,11,4.5,0,25,530,34,12,2,3,
1,0,Pizza,Pizza Hut,0.25,,pizza,Small,250,7,3.5,0,20,510,34,13,3,3,
1,0,Pizza,Pizza Hut,0.25,,pizza,Small,260,10,4,0,25,500,32,11,2,2,
1,0,Pizza,Pizza Hut,0.25,,pizza,Small,280,8,3.5,0,25,490,41,12,9,2,
1,0,Pizza,Pizza Hut,0.25,,pizza,Small,250,8,4,0,25,480,33,12,2,3,
1,0,Pizza,Pizza Hut,0.25,,pizza,Small,240,7,3,0,15,470,34,10,3,2,
1,0,Pizza,Pizza Hut,0.25,,pizza,Small,240,7,3,0,20,460,34,12,2,3,
1,0,Pizza,Pizza Hut,0.25,,pizza,Small,240,7,3,0,15,460,34,10,2,3,
1,0,Pizza,Pizza Hut,0.125,,pizza,Small,110,3,1.5,0,10,390,16,5,2,,
1,0,Pizza,Pizza Hut,0.125,,pizza,Small,160,9,3.5,0,20,390,13,7,2,,
1,0,Pizza,Pizza Hut,0.125,,pizza,Small,130,3,1.5,0,10,370,19,6,,,
1,0,Pizza,Pizza Hut,0.125,,pizza,Small,170,8,3.5,0,20,350,16,7,,1,
1,0,Pizza,Pizza Hut,0.125,,pizza,Small,140,6,3,0,20,330,13,6,2,1,
1,0,Pizza,Pizza Hut,0.125,,pizza,Small,150,7,3,0,20,310,17,7,,1,
