restaurant,calories,total_fat,cholesterol,sodium,carbohydrates,dietary_fiber,sugar,protein,cuisine
Applebee's,100,0.0,0,35,28,0,27,0,american restaurant
Applebee's,150,0.0,0,50,42,0,40,0,american restaurant
Applebee's,5,0.0,0,50,2,0,0,0,american restaurant
Applebee's,140,0.0,0,35,37,0,37,0,american restaurant
Applebee's,10,0.0,0,140,0,0,0,0,american restaurant
Applebee's,170,0.0,0,0,42,0,36,0,american restaurant
Applebee's,150,0.0,0,25,38,0,36,0,american restaurant
Applebee's,5,0.0,0,95,0,0,0,0,american restaurant
Applebee's,10,0.0,0,140,0,0,0,0,american restaurant
Applebee's,150,0.0,0,25,38,0,36,0,american restaurant
Applebee's,280,0.0,0,85,71,0,68,0,american restaurant
Applebee's,290,0.0,0,90,75,0,72,0,american restaurant
Applebee's,280,0.0,0,85,72,0,69,0,american restaurant
Applebee's,190,0.0,0,55,49,0,47,0,american restaurant
Applebee's,290,0.0,0,85,73,0,71,0,american restaurant
Applebee's,190,0.0,0,60,49,0,47,0,american restaurant
Applebee's,280,0.0,0,85,73,0,70,0,american restaurant
Applebee's,70,0.0,0,10,17,0,15,0,american restaurant
Applebee's,80,0.0,0,20,21,0,19,0,american restaurant
Applebee's,70,0.0,0,10,18,0,16,0,american restaurant
Applebee's,80,0.0,0,15,19,0,18,0,american restaurant
Applebee's,50,0.0,0,10,13,0,12,0,american restaurant
Applebee's,80,0.0,0,15,20,0,18,0,american restaurant
Applebee's,60,0.0,0,10,14,0,13,0,american restaurant
Applebee's,80,0.0,0,15,21,0,19,0,american restaurant
Applebee's,50,0.0,0,10,13,0,11,0,american restaurant
Applebee's,80,0.0,0,15,19,0,17,0,american restaurant
Applebee's,5,0.0,0,10,2,0,0,0,american restaurant
Applebee's,90,0.0,0,10,23,0,22,0,american restaurant
Applebee's,130,0.0,0,10,34,0,33,0,american restaurant
Applebee's,0,0.0,0,15,0,0,0,0,american restaurant
Applebee's,0,0.0,0,0,0,0,0,0,american restaurant
Applebee's,300,0.0,0,320,40,1,31,0,american restaurant
Applebee's,310,0.0,0,320,44,1,38,0,american restaurant
Applebee's,270,0.0,0,20,47,1,41,1,american restaurant
Applebee's,1460,94.0,150,3180,114,11,19,42,american restaurant
Applebee's,970,60.0,185,2060,55,7,9,55,american restaurant
Applebee's,430,4.5,0,2410,93,2,76,5,american restaurant
Applebee's,0,0.0,0,45,0,0,0,0,american restaurant
Applebee's,0,0.0,0,25,0,0,0,0,american restaurant
Applebee's,110,0.0,0,40,31,0,31,0,american restaurant
Applebee's,1430,90.0,310,1850,67,7,12,88,american restaurant
Applebee's,190,0.0,0,60,49,0,47,0,american restaurant
Applebee's,180,0.0,0,60,47,0,45,0,american restaurant
Applebee's,290,0.0,0,85,73,0,71,0,american restaurant
Applebee's,0,0.0,0,70,0,0,0,0,american restaurant
Applebee's,0,0.0,0,35,1,0,0,0,american restaurant
Applebee's,140,0.0,0,35,39,0,39,0,american restaurant
Applebee's,110,0.0,0,90,28,0,27,0,american restaurant
Applebee's,150,0.0,0,30,41,0,41,0,american restaurant
Applebee's,260,2.5,0,1440,56,1,46,3,american restaurant
Applebee's,860,49.0,150,1810,57,10,20,52,american restaurant
Applebee's,820,29.0,150,2220,90,10,6,54,american restaurant
Applebee's,710,27.0,155,2080,91,10,6,30,american restaurant
Applebee's,210,0.0,0,0,54,0,46,0,american restaurant
Applebee's,240,0.0,0,10,59,2,58,0,american restaurant
Applebee's,140,0.0,0,45,39,0,39,0,american restaurant
Applebee's,280,0.0,0,85,70,0,68,0,american restaurant
Applebee's,290,0.0,0,85,74,0,71,0,american restaurant
